Time Flow "End time"
1551112805 12.0 1551113165
1551136662 12.0 1551137022
1551163319 12.0 1551163679
1551181357 12.0 1551181717
1551201563 12.0 1551201923
1551215602 12.0 1551215962
1551257560 12.0 1551257920
1551289362 12.0 1551289722
1551335545 12.0 1551335905
1551371339 12.0 1551371699
1551422209 12.0 1551422569
1551422701 12.0 1551423061
1551426306 12.0 1551426666
1551439207 12.0 1551439567
1551479301 12.0 1551479661
1551522524 12.0 1551522884
1551539412 12.0 1551539772
1551560140 12.0 1551560500
1551678811 12.0 1551679171
1551693380 12.0 1551693740
1551736130 12.0 1551736490
1551768518 12.0 1551768878
1551790628 12.0 1551790988
1551799422 12.0 1551799782
1551866556 12.0 1551866916
1551872374 12.0 1551872734
1551888518 12.0 1551888878
1551907869 12.0 1551908229
1551933874 12.0 1551934234
1552242106 12.0 1552242466
1552254243 12.0 1552254603
1552286203 12.0 1552286563
1552286552 12.0 1552286912
1552313962 12.0 1552314322
1552404033 12.0 1552404393
1552404860 12.0 1552405220
1552459254 12.0 1552459614
1552461437 12.0 1552461797
1552518530 12.0 1552518890
1552584321 12.0 1552584681
1552602146 12.0 1552602506
1552634065 12.0 1552634425
1552635694 12.0 1552636054
1552640222 12.0 1552640582
1552659584 12.0 1552659944
1552692090 12.0 1552692450
1552719088 12.0 1552719448
1552725074 12.0 1552725434
1552730333 12.0 1552730693
1552754519 12.0 1552754879
1552810190 12.0 1552810550
1552952664 12.0 1552953024
1552953501 12.0 1552953861
1553030250 12.0 1553030610
1553031424 12.0 1553031784
1553066023 12.0 1553066383
1553068085 12.0 1553068445
1553082902 12.0 1553083262
1553103078 12.0 1553103438
1553123921 12.0 1553124281
1553151294 12.0 1553151654
1553239859 12.0 1553240219
1553249761 12.0 1553250121
1553279976 12.0 1553280336
1553323597 12.0 1553323957
1553337548 12.0 1553337908
1553410479 12.0 1553410839
1553433665 12.0 1553434025
1553435525 12.0 1553435885
1553448602 12.0 1553448962
1553451459 12.0 1553451819
1553457971 12.0 1553458331
1553461352 12.0 1553461712
1553500359 12.0 1553500719
1553545143 12.0 1553545503
1553554095 12.0 1553554455
1553582921 12.0 1553583281
1553590584 12.0 1553590944
1553592032 12.0 1553592392
1553627613 12.0 1553627973
1553677297 12.0 1553677657
1553723490 12.0 1553723850
1553754708 12.0 1553755068
1553756300 12.0 1553756660
1553809485 12.0 1553809845
1553899157 12.0 1553899517
1553913494 12.0 1553913854
1553946101 12.0 1553946461
1554101226 12.0 1554101586
1554116810 12.0 1554117170
1554184786 12.0 1554185146
1554188868 12.0 1554189228
1554198548 0.0 1554198908
1554198586 0.0 1554198946
1554198805 0.0 1554199165
1554198817 0.0 1554199177
1554242098 12.0 1554242458
1554285793 12.0 1554286153
1554353956 12.0 1554354316
1554356842 12.0 1554357202
1554398016 12.0 1554398376
1554454646 12.0 1554455006
1554490031 12.0 1554490391
1554536037 12.0 1554536397
1554540069 12.0 1554540429
1554552091 12.0 1554552451
1554561496 12.0 1554561856
1554619425 12.0 1554619785
1554809311 12.0 1554809671
1554813025 12.0 1554813385
1554837469 12.0 1554837829
1554878053 12.0 1554878413
1554964652 12.0 1554965012
1555014763 12.0 1555015123
1555029155 12.0 1555029515
1555029412 12.0 1555029772
1555050478 12.0 1555050838
1555087104 12.0 1555087464
1555092734 12.0 1555093094
1555092903 12.0 1555093263
1555107040 12.0 1555107400
1555137573 12.0 1555137933
1555174628 12.0 1555174988
1555183692 12.0 1555184052
1555186865 12.0 1555187225
1555277354 12.0 1555277714
1555311575 12.0 1555311935
1555365095 12.0 1555365455
1555365230 12.0 1555365590
1555424885 12.0 1555425245
1555435897 12.0 1555436257
1555444663 12.0 1555445023
1555480560 12.0 1555480920
1555482141 12.0 1555482501
1555519309 12.0 1555519669
1555553982 12.0 1555554342
1555571225 12.0 1555571585
1555690394 12.0 1555690754
1555718891 12.0 1555719251
1555747201 12.0 1555747561
1555747661 12.0 1555748021
1555758741 12.0 1555759101
1555876922 12.0 1555877282
1555911733 12.0 1555912093
1555924978 12.0 1555925338
1555935311 12.0 1555935671
1555971967 12.0 1555972327
1555997121 12.0 1555997481
1556001680 12.0 1556002040
1556025827 12.0 1556026187
1556034959 12.0 1556035319
1556085129 12.0 1556085489
1556088063 12.0 1556088423
1556131954 12.0 1556132314
1556226975 12.0 1556227335
1556257222 12.0 1556257582
1556261707 12.0 1556262067
1556272697 12.0 1556273057
1556295120 12.0 1556295480
1556295524 12.0 1556295884
1556321691 12.0 1556322051
1556325600 12.0 1556325960
1556325680 12.0 1556326040
1556330915 12.0 1556331275
1556354882 12.0 1556355242
1556358652 12.0 1556359012
1556394657 12.0 1556395017
1556395115 12.0 1556395475
1556406023 12.0 1556406383
1556450968 12.0 1556451328
